Topic,Word,Weight
0,centrallylocated,0.043000236
0,place,0.026374875
0,everything,0.01955485
0,enjoy,0.01811387
0,stylish,0.0144118825
0,experience,0.0135376165
0,group,0.013150108
0,simple,0.012830638
0,centrally,0.01265272
0,easy,0.012303331
0,peaceful,0.01208068
0,keep,0.010902865
0,close,0.0105395075
0,whole,0.0105165215
0,located,0.009797239
0,family,0.009688267
0,stay,0.008288035
0,minute,0.006221311
0,access,0.006190986
0,london,0.0060797967
1,serviced,0.022162706
1,deluxe,0.015662652
1,leisurely,0.01381927
1,adjustable,0.012676041
1,lifestyle,0.012042086
1,studios,0.010828285
1,groundfloor,0.0091927815
1,liftelevator,0.008402191
1,enjoyment,0.007938694
1,desire,0.0075229057
1,colindale,0.0069453805
1,wellproportioned,0.0068893386
1,bushy,0.0066801594
1,cricket,0.006553801
1,apartments,0.0063806893
1,wetlands,0.006110704
1,ravenscourt,0.0060497923
1,bluetooth,0.0056898925
1,accent,0.0053837826
1,lord,0.005054727
2,thoughtfully,0.04875614
2,breeze,0.013673668
2,families,0.010732852
2,practical,0.009105229
2,hostel,0.008478063
2,wellappointed,0.008263176
2,embassy,0.0081051225
2,counter,0.008017837
2,scenery,0.007773352
2,comprising,0.0076299473
2,brentford,0.007185419
2,miele,0.0066929264
2,woodford,0.0065523023
2,provided,0.006246829
2,waterfall,0.006245188
2,ecofriendly,0.006036555
2,experienced,0.0056751785
2,cloakroom,0.005430487
2,soothing,0.005312381
2,shape,0.005048099
3,inviting,0.04044405
3,comes,0.012816728
3,swiss,0.012467112
3,stave,0.010939995
3,recharge,0.009281469
3,beckenham,0.008900784
3,exactly,0.008872806
3,venture,0.007030508
3,harbour,0.006681838
3,quee,0.006661848
3,external,0.006575362
3,airconditioning,0.0062025534
3,device,0.006034166
3,farm,0.0059175156
3,enclose,0.005857942
3,hosting,0.0054624844
3,childre,0.005261806
3,cottage,0.0051494767
3,coffe,0.005084641
3,appliances,0.004961856
4,await,0.01676237
4,redesign,0.013245717
4,shepherd,0.011364868
4,quays,0.010540951
4,romford,0.009977844
4,surrey,0.008874651
4,canada,0.007840134
4,rotherhithe,0.007791442
4,mcdonald,0.0072514117
4,feltham,0.0071079703
4,highstreet,0.0067875674
4,nunhead,0.0062388787
4,color,0.006076516
4,hatton,0.005940704
4,salt,0.0052342676
4,swift,0.0047626267
4,consisting,0.0044788676
4,inbuilt,0.0043624816
4,modest,0.0038593763
4,pepper,0.0035437914
5,place,0.013801406
5,stay,0.011426383
5,whole,0.010294135
5,family,0.010263976
5,peaceful,0.009402402
5,time,0.007914413
5,room,0.007840199
5,great,0.007680808
5,relax,0.0076406873
5,share,0.006860569
5,bring,0.0060043824
5,note,0.005863384
5,please,0.00585142
5,comfortable,0.0056917868
5,guest,0.005487695
5,house,0.005248367
5,available,0.005165179
5,make,0.004707356
5,thing,0.004629207
5,access,0.004568317
6,adventure,0.01648828
6,covent,0.014894533
6,british,0.010498478
6,rules,0.009665805
6,holborn,0.009621098
6,plush,0.008436839
6,council,0.008300516
6,museum,0.007928364
6,buckingham,0.00772928
6,square,0.0072727595
6,aldgate,0.006719889
6,westminster,0.00653998
6,soho,0.0064240997
6,unbeatable,0.006370164
6,sleeps,0.006262099
6,palace,0.0061372905
6,chef,0.006117671
6,enthusiast,0.0060529527
6,parliament,0.005764747
6,shadwell,0.0056843646
7,lancaster,0.017134866
7,golders,0.015943946
7,hypoallergenic,0.013938437
7,worker,0.0108802635
7,sister,0.009368666
7,highgate,0.009367997
7,goodge,0.009097316
7,measure,0.008367335
7,mattresses,0.0071308967
7,teddington,0.007088893
7,convertible,0.0068231206
7,brent,0.0068039047
7,enhance,0.0065166457
7,topper,0.006510354
7,upton,0.0064482214
7,hood,0.006329566
7,extractor,0.0060843574
7,kosher,0.005842899
7,bus,0.005806661
7,there,0.0049957256
8,kensington,0.0138340155
8,hyde,0.009548719
8,notting,0.008229315
8,park,0.0073735067
8,studio,0.0068107387
8,hill,0.006781284
8,walk,0.006772699
8,harrods,0.006538042
8,road,0.0065224413
8,museum,0.006507453
8,minute,0.006491973
8,knightsbridge,0.006356029
8,portobello,0.0061557335
8,station,0.005805544
8,flat,0.0055173
8,paddington,0.0053912103
8,albert,0.0046822396
8,chelsea,0.0045932154
8,loved,0.004542327
8,apartment,0.00425043
9,minute,0.010017748
9,station,0.008435128
9,line,0.0084277885
9,walk,0.008302746
9,train,0.0078667775
9,getaway,0.006905366
9,central,0.0065821973
9,easy,0.0060541537
9,london,0.0060157496
9,wharf,0.0058790417
9,airport,0.005755076
9,shop,0.0057447474
9,park,0.005738459
9,canary,0.0057088323
9,away,0.005333505
9,river,0.005161224
9,close,0.0051218607
9,elizabeth,0.0050424766
9,take,0.0049567414
9,restaurant,0.00495629
10,apartment,0.00790246
10,bedroom,0.0056537134
10,living,0.005398488
10,offer,0.005065583
10,equip,0.0050100544
10,perfect,0.0049282275
10,fully,0.0048307395
10,stylish,0.0047625387
10,flat,0.0047497074
10,area,0.004739645
10,modern,0.004649203
10,property,0.004514594
10,floor,0.0044026086
10,bathroom,0.004394318
10,room,0.004370306
10,kitchen,0.0043294304
10,comfortable,0.004211692
10,double,0.0041616773
10,sofa,0.0041604503
10,large,0.0041283434
11,twobedroom,0.014581406
11,canning,0.0143131325
11,setting,0.014035272
11,threebedroom,0.012967424
11,etc,0.010639608
11,onsite,0.009774586
11,efficient,0.009774164
11,quay,0.009452463
11,welllocated,0.009303135
11,bifold,0.008162114
11,apps,0.0075086434
11,designed,0.0074033216
11,specification,0.0073974375
11,similar,0.0071080187
11,foldable,0.0068192296
11,renovation,0.0067708422
11,handle,0.006266832
11,immaculately,0.0059924833
11,management,0.0058300467
11,aquarium,0.0058257957
12,forget,0.08177117
12,worry,0.08165438
12,serene,0.080023214
12,spacious,0.0189937
12,hounslow,0.01120637
12,designate,0.005923938
12,trail,0.0057904925
12,wapping,0.005552022
12,maintenance,0.005257325
12,docks,0.005189324
12,space,0.0050980444
12,utilise,0.0045690704
12,cocktail,0.004467039
12,no,0.0042848885
12,bedsit,0.0037688452
12,mint,0.0035370025
12,undergo,0.0035365745
12,width,0.0033239138
12,cream,0.0032798096
12,purley,0.003221956
13,workspace,0.03548419
13,adorn,0.023132548
13,elegantly,0.01647951
13,cleaned,0.015578654
13,streaming,0.01232074
13,setup,0.011182374
13,sale,0.00939994
13,dynamic,0.009210642
13,downs,0.008670712
13,staff,0.008414233
13,upscale,0.008310941
13,housekeep,0.007682135
13,twice,0.0075875064
13,settle,0.0074594063
13,capsule,0.00707181
13,potter,0.0069409935
13,harry,0.0068998146
13,recreational,0.00639343
13,noisy,0.0063353525
13,all,0.0062592053
14,unforgettable,0.028914016
14,marylebone,0.02838809
14,arch,0.018931454
14,baker,0.016676012
14,marble,0.012483378
14,edgware,0.011130425
14,regen,0.0103828
14,madame,0.010337497
14,parties,0.009858792
14,tussauds,0.0098431595
14,anytime,0.009333952
14,parsons,0.00813154
14,reliable,0.0076852934
14,bromley,0.0075436765
14,enfield,0.0071074963
14,oxford,0.0066482923
14,dagenham,0.0064100586
14,doublesized,0.006324601
14,communication,0.006159126
14,portable,0.0059182863
15,unique,0.015686557
15,memorable,0.0145793585
15,mayfair,0.014107309
15,culinary,0.013820276
15,nestled,0.013743467
15,discover,0.013367506
15,style,0.013148951
15,enjoyable,0.010324992
15,mere,0.008509248
15,selfcatering,0.008282813
15,nestle,0.008032475
15,dedicated,0.007476111
15,cookware,0.007280201
15,favourite,0.0068573365
15,premium,0.006763613
15,promise,0.0062071164
15,place,0.005885032
15,whip,0.0058729886
15,sophisticated,0.005190607
15,body,0.005097908
